X,Y
516.294,173.714
516.194,173.717
516.094,173.72
515.994,173.722
515.894,173.725
515.794,173.728
515.694,173.731
515.594,173.733
515.494,173.736
515.394,173.739
515.295,173.742
515.195,173.745
515.095,173.748
514.995,173.751
514.895,173.754
514.795,173.758
514.695,173.761
514.595,173.764
514.495,173.767
514.395,173.77
514.295,173.773
514.195,173.776
514.095,173.779
513.995,173.782
513.895,173.785
513.795,173.788
513.695,173.791
513.595,173.793
513.495,173.796
513.395,173.799
513.295,173.802
513.195,173.805
513.096,173.808
512.996,173.811
512.896,173.814
512.796,173.817
512.696,173.82
512.596,173.823
512.496,173.826
512.396,173.829
512.296,173.832
512.196,173.835
512.096,173.838
511.996,173.841
511.896,173.844
511.796,173.847
511.696,173.85
511.596,173.853
511.496,173.856
511.396,173.859
511.296,173.862
511.196,173.865
511.096,173.867
510.996,173.87
510.896,173.873
510.797,173.876
510.697,173.879
510.597,173.882
510.497,173.885
510.397,173.888
510.297,173.891
510.197,173.894
510.097,173.897
509.997,173.9
509.897,173.903
509.797,173.906
509.697,173.909
509.597,173.912
509.497,173.915
509.397,173.918
509.297,173.921
509.197,173.924
509.097,173.927
508.997,173.93
508.897,173.932
508.797,173.935
508.697,173.938
508.597,173.941
508.498,173.944
508.398,173.947
508.298,173.95
508.198,173.953
508.098,173.956
507.998,173.959
507.898,173.962
507.798,173.965
507.698,173.968
507.598,173.971
507.498,173.974
507.398,173.977
507.298,173.98
507.198,173.983
507.098,173.986
506.998,173.989
506.898,173.992
506.798,173.995
506.698,173.998
506.598,174.001
506.498,174.004
506.398,174.007
506.298,174.01
506.199,174.012
506.099,174.015
505.999,174.018
505.899,174.021
505.799,174.024
505.699,174.027
505.599,174.03
505.499,174.033
505.399,174.036
505.299,174.039
505.199,174.041
505.099,174.044
504.999,174.047
504.899,174.05
504.799,174.053
504.699,174.056
504.599,174.059
504.499,174.062
504.399,174.065
504.299,174.068
504.199,174.071
504.099,174.074
503.999,174.077
503.9,174.08
503.8,174.083
503.7,174.085
503.6,174.088
503.5,174.091
503.4,174.094
503.3,174.097
503.2,174.1
503.1,174.103
503.0,174.106
502.9,174.109
502.8,174.111
502.7,174.114
502.6,174.117
502.5,174.12
502.4,174.123
502.3,174.126
502.2,174.129
502.1,174.132
502.0,174.134
501.9,174.137
